,Denis Suárez,Mesut Özil,Emile Smith Rowe,Granit Xhaka,Mohamed Elneny,Alex Iwobi,Konstantinos Mavropanos,Sokratis Papastathopoulos,Zech Medley,Emiliano Martínez,Shkodran Mustafi,Petr Cech,Alexandre Lacazette,Ainsley Maitland-Niles,Mattéo Guendouzi,Henrikh Mkhitaryan,Joe Willock,Stephan Lichtsteiner,Bukayo Saka,Aaron Ramsey,Carl Jenkinson,Pierre-Emerick Aubameyang,Héctor Bellerín,Eddie Nketiah,Laurent Koscielny,Sead Kolasinac,Bernd Leno,Lucas Torreira,Rob Holding,Danny Welbeck,Nacho Monreal,Successful,Unsuccessful,Unsuccessful Pass
Denis Suárez,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mesut Özil,0,0,0,0,6,13,3,0,0,0,3,0,9,3,19,0,0,0,0,0,2,4,0,0,3,11,0,1,0,0,0,1,1,9
Emile Smith Rowe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Granit Xhaka,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mohamed Elneny,0,3,0,0,0,2,4,0,0,0,4,0,0,3,7,0,0,0,0,0,3,1,0,0,6,7,0,0,0,0,0,0,1,5
Alex Iwobi,0,10,0,0,1,0,0,0,0,0,1,0,2,2,1,0,0,0,0,0,0,0,0,0,2,4,0,1,0,0,0,0,1,14
Konstantinos Mavropanos,0,4,0,0,4,0,0,0,0,0,5,0,2,0,6,0,0,0,0,0,0,0,0,0,17,15,0,0,0,0,0,0,2,3
Sokratis Papastathopoulos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zech Medley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Emiliano Martínez,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shkodran Mustafi,0,5,0,0,6,0,1,0,0,0,0,0,1,5,1,0,0,0,0,0,9,2,0,0,18,4,1,3,0,0,0,0,1,6
Petr Cech,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alexandre Lacazette,0,8,0,0,4,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,1,2,0,0,1,3,0,0,0,0,0,0,3,8
Ainsley Maitland-Niles,0,9,0,0,1,3,0,0,0,0,3,0,6,0,3,0,0,0,0,0,0,7,0,0,1,1,0,5,0,0,0,0,0,8
Mattéo Guendouzi,0,15,0,0,2,11,4,0,0,0,5,0,4,4,0,0,0,0,0,0,2,3,0,0,5,21,0,1,0,0,0,0,0,9
Henrikh Mkhitaryan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
