,Georginio Wijnaldum,Mohamed Salah,Adam Lallana,Dejan Lovren,Alisson Becker,Simon Mignolet,Fabinho,Andy Robertson,Joe Gomez,Curtis Jones,Joël Matip,Virgil van Dijk,Rafael Camacho,Nathaniel Clyne,Xherdan Shaqiri,Roberto Firmino,Sadio Mané,Daniel Sturridge,Divock Origi,Naby Keïta,Jordan Henderson,Trent Alexander-Arnold,Alex Oxlade-Chamberlain,James Milner,Loris Karius,Alberto Moreno,Successful,Unsuccessful,Unsuccessful Pass
Georginio Wijnaldum,0,0,0,0,1,0,0,10,6,0,0,4,0,0,0,0,2,0,0,7,0,15,0,18,0,0,0,3,5
Mohamed Salah,2,0,0,0,0,0,0,0,1,0,0,0,0,0,2,7,3,0,0,0,0,3,0,4,0,0,1,3,5
Adam Lallana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dejan Lovren,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alisson Becker,2,0,0,0,0,0,0,5,9,0,0,7,0,0,0,0,1,0,0,1,1,4,0,2,0,0,0,0,2
Simon Mignolet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fabinho,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andy Robertson,4,2,0,0,1,0,0,0,2,0,0,14,0,0,1,6,12,0,0,22,1,3,0,5,0,0,0,0,9
Joe Gomez,8,1,0,0,5,0,0,0,0,0,0,7,0,0,2,1,2,0,0,2,3,10,0,12,0,0,0,1,5
Curtis Jones,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Joël Matip,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Virgil van Dijk,9,0,0,0,3,0,0,13,6,0,0,0,0,0,0,2,0,3,0,5,3,2,0,14,0,0,0,0,1
Rafael Camacho,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nathaniel Clyne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Xherdan Shaqiri,1,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,0,3,2,1,0,1,0,0,0,0,1
Roberto Firmino,5,6,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,0,0,3,0,2,0,4,0,0,0,1,7
Sadio Mané,4,3,0,0,0,0,0,9,0,0,0,1,0,0,0,1,0,0,0,3,0,1,0,6,0,0,2,2,10
Daniel Sturridge,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,1,1
Divock Origi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Naby Keïta,9,2,0,0,3,0,0,21,1,0,0,2,0,0,1,3,9,0,0,0,0,1,0,5,0,0,0,1,8
Jordan Henderson,0,1,0,0,0,0,0,4,0,0,0,3,0,0,3,0,0,0,0,1,0,1,0,8,0,0,0,0,0
Trent Alexander-Arnold,9,7,0,0,4,0,0,0,8,0,0,3,0,0,1,7,3,0,0,2,2,0,0,17,0,0,0,1,18
Alex Oxlade-Chamberlain,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
James Milner,9,6,0,0,3,0,0,5,9,0,0,9,0,0,5,10,6,1,0,7,5,22,0,0,0,0,0,1,11
Loris Karius,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alberto Moreno,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Successful,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unsuccessful,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unsuccessful Pass,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
