,initial_possession
Adrián,0
Mohamed Salah,14
Alisson Becker,29
Caoimhín Kelleher,0
Tyler Morton,0
Fabinho,38
Takumi Minamino,1
Andy Robertson,16
Joe Gomez,0
Luis Díaz,0
Curtis Jones,0
Joël Matip,0
Virgil van Dijk,40
Jarell Quansah,0
Kaide Gordon,0
Owen Beck,0
Ben Woodburn,0
Conor Bradley,0
Neco Williams,0
Roberto Firmino,0
Ibrahima Konaté,45
Harvey Elliott,0
Sadio Mané,11
Marcelo Pitaluga,0
Thiago Alcântara,17
Divock Origi,0
Rhys Williams,0
Naby Keïta,0
Nathaniel Phillips,0
Jordan Henderson,14
Trent Alexander-Arnold,47
Diogo Jota,20
Alex Oxlade-Chamberlain,6
James Milner,8
Kostas Tsimikas,0
Successful,0
Unsuccessful,0
Unsuccessful Pass,0
